England,,,,,Wales,,,,,combined,,
name,value,flu_event,total_n,,xlbl,xlbl_cd,n_flu_complete,n,,flu_event,total_n,per_flu
age_cat,18-24,6796,22338,,18-24,18-24,2820,6390,,9616,28728,33.5
age_cat,25-29,15667,39099,,25-29,25-29,4810,10010,,20477,49109,41.7
age_cat,30-34,21664,48244,,30-34,30-34,5240,10080,,26904,58324,46.1
age_cat,35-39,11920,27514,,35-39,35-39,2330,4480,,14250,31994,44.5
age_cat,40-49,3118,9787,,40-49,40-49,370,750,,3488,10537,33.1
bmi_cat,<18.5,2148,6336,,<18.5,<18.5,410,1060,,2558,7396,34.6
bmi_cat,18.5-24.9,26899,64848,,18.5-24.9,18.5-24.9,5960,12160,,32859,77008,42.7
bmi_cat,25.0-29.9,14565,35306,,25-29.9,25-29.9,4660,9420,,19225,44726,43
bmi_cat,30.0-39.9,9944,24732,,30-39.9,30-39.9,3920,7880,,13864,32612,42.5
bmi_cat,40+,2004,4601,,40+,40+,610,1200,,2614,5801,45.1
bmi_cat,missing,3605,11159,,missing,missing,0,0,,3605,11159,32.3
Ethnicity,W,46330,109153,,White,w,14540,29450,,60870,138603,43.9
Ethnicity,A,5637,14471,,Asian,a,520,1060,,6157,15531,39.6
Ethnicity,B,1422,6185,,Black,b,120,280,,1542,6465,23.9
Ethnicity,M,992,3158,,Mixed,m,150,380,,1142,3538,32.3
Ethnicity,O,845,2761,,Other,o,190,430,,1035,3191,32.4
Ethnicity,missing,3939,11254,,(Missing),NA,40,120,,3979,11374,35
household_n_cat,1,23113,61018,,Alone,1,1270,2410,,24383,63428,38.4
household_n_cat,2,28346,62636,,2 members,2,3920,7240,,32266,69876,46.2
household_n_cat,3,4238,12355,,3 members,3,4770,9350,,9008,21705,41.5
household_n_cat,4,2009,6108,,4 members,4,2780,5980,,4789,12088,39.6
household_n_cat,5,788,2457,,5 members,5,1490,3300,,2278,5757,39.6
household_n_cat,06-Oct,583,2015,,6-10 members,06-Oct,1280,3240,,1863,5255,35.5
household_n_cat,11+,88,393,,11+ members,11+,60,190,,148,583,25.4
IMDQuintile,1,10150,32836,,1st (Most deprived),1,3500,8310,,13650,41146,33.2
IMDQuintile,2,11070,30012,,2nd,2,3210,6820,,14280,36832,38.8
IMDQuintile,3,11643,28676,,3rd,3,3030,5930,,14673,34606,42.4
IMDQuintile,4,13049,28635,,4th,4,2950,5470,,15999,34105,46.9
IMDQuintile,5,13253,26823,,5th (Least deprived),5,2880,5180,,16133,32003,50.4
nrg_cat,0,46281,117264,,No conditions,0,12430,25500,,58711,142764,41.1
nrg_cat,1,10419,24239,,1 condition,1,3060,6070,,13479,30309,44.5
nrg_cat,2,2040,4594,,2 conditions,2,70,130,,2110,4724,44.7
nrg_cat,3,351,711,,3 conditions,3,10,10,,361,721,50.1
nrg_cat,4+,74,174,,4 conditions,4+,0,0,,74,174,42.5
UrbanRural,Urban,47698,122852,,Urban,u,11290,23450,,58988,146302,40.3
UrbanRural,Rural,11467,24130,,Rural,r,4270,8260,,15737,32390,48.6
