vacc_doseb_name,xvar,xlbl,est,ci_low,ci_high
NA,Age,40-49,1.00,1.00,1.00
NA,Age,18-24,1.19,1.01,1.40
NA,Age,25-29,0.85,0.73,0.98
NA,Age,30-34,0.71,0.62,0.82
NA,Age,35-39,0.73,0.62,0.84
NA,Ethnicity,White,1.00,1.00,1.00
NA,Ethnicity,Male,1.09,0.88,1.34
NA,Ethnicity,Asian,1.37,1.21,1.55
NA,Ethnicity,Black,1.34,1.03,1.73
NA,Ethnicity,Other,0.93,0.72,1.20
NA,BMI,18.5-24.9,1.00,1.00,1.00
NA,BMI,<18.5,1.04,0.88,1.22
NA,BMI,25.0-29.9,1.03,0.95,1.11
NA,BMI,30.0-39.9,1.16,1.06,1.26
NA,BMI,40.0+,1.32,1.09,1.59
NA,No. QCovid comorbidities,rsk 0,1.00,1.00,1.00
NA,No. QCovid comorbidities,rsk 1,1.11,1.02,1.20
NA,No. QCovid comorbidities,rsk 2,1.13,0.93,1.37
NA,No. QCovid comorbidities,rsk 3,1.44,0.87,2.40
NA,No. QCovid comorbidities,rsk 4+,1.22,0.39,3.84
NA,Urban/rural,Urban,1.00,1.00,1.00
NA,Urban/rural,Rural,1.09,0.96,1.24
NA,Number of household members,2,1.00,1.00,1.00
NA,Number of household members,hh 1,0.90,0.84,0.97
NA,Number of household members,hh 3,0.92,0.83,1.03
NA,Number of household members,hh 4,0.95,0.83,1.10
NA,Number of household members,hh 5,0.96,0.79,1.17
NA,Number of household members,hh 6-10,0.92,0.73,1.16
NA,Number of household members,hh 7+,1.14,0.44,2.96
